type	id	old_length	new_length
added	sp|A0A2K4Z9G8|COMPA_BACSU		37
added	sp|A0A2K4Z9J5|BSRE_BACSU		30
added	sp|A0A2K4Z9K4|BSRH_BACSU		29
added	sp|C0H3P8|YTRH_BACSU		113
added	sp|C0H3P9|YTZJ_BACSU		63
added	sp|C0H3Q1|YTZI_BACSU		58
added	sp|C0H3Q2|YTZL_BACSU		52
added	sp|C0H3Q3|YUZH_BACSU		84
added	sp|C0H3Q4|YUZI_BACSU		87
added	sp|C0H3Q6|YBDZ_BACSU		69
added	sp|C0H3Q7|YUZJ_BACSU		43
added	sp|C0H3Q8|YUZN_BACSU		92
added	sp|C0H3Q9|YUZK_BACSU		45
added	sp|C0H3R0|YUZL_BACSU		48
added	sp|C0H3R1|YUZM_BACSU		81
added	sp|C0H3R3|YVZF_BACSU		61
added	sp|C0H3R4|RSOA_BACSU		79
added	sp|C0H3R5|YVRJ_BACSU		112
added	sp|C0H3R7|YVZJ_BACSU		69
added	sp|C0H3R9|YVZG_BACSU		125
added	sp|C0H3S3|YWZD_BACSU		47
added	sp|C0H3S6|YWZG_BACSU		112
added	sp|C0H3S8|YBZG_BACSU		74
added	sp|C0H3S9|YBZH_BACSU		100
added	sp|C0H3T1|YBZI_BACSU		87
added	sp|C0H3T2|YCZK_BACSU		58
added	sp|C0H3T3|YWZH_BACSU		49
added	sp|C0H3T5|YXZJ_BACSU		43
added	sp|C0H3T6|YXZL_BACSU		54
added	sp|C0H3T7|YXZK_BACSU		134
added	sp|C0H3T8|YYZN_BACSU		52
added	sp|C0H3T9|YYZF_BACSU		56
added	sp|C0H3U0|YYZG_BACSU		56
added	sp|C0H3U2|YYZH_BACSU		49
added	sp|C0H3U7|YCZL_BACSU		61
added	sp|C0H3U9|BSDD_BACSU		75
added	sp|C0H3V0|YCZM_BACSU		29
added	sp|C0H3V1|YCZN_BACSU		37
added	sp|C0H3V2|PTMA_BACSU		143
added	sp|C0H3V3|YCZO_BACSU		54
added	sp|C0H3V4|YDZK_BACSU		88
added	sp|C0H3V5|YDZL_BACSU		86
added	sp|C0H3V7|YDZN_BACSU		61
added	sp|C0H3V8|YYZM_BACSU		68
added	sp|C0H3V9|YDZO_BACSU		61
added	sp|C0H3W0|YDZP_BACSU		59
added	sp|C0H3W1|YDZQ_BACSU		47
added	sp|C0H3W2|YDZR_BACSU		76
added	sp|C0H3W7|YDZU_BACSU		90
added	sp|C0H3X2|YDZX_BACSU		95
added	sp|C0H3X3|YEZF_BACSU		75
added	sp|C0H3X4|YEZG_BACSU		151
added	sp|C0H3X6|YFZA_BACSU		88
added	sp|C0H3X7|MPRF_BACSU		856
added	sp|C0H3X8|YGZC_BACSU		90
added	sp|C0H3X9|YGZD_BACSU		66
added	sp|C0H3Y1|YHZD_BACSU		61
